Matchday,Date,Venue,For,For.1,Opponent,Opponent.1,Result,Pos.,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Round of 16,1/15/20,H,,,,Udinese,4:0,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,Not in squad,,
Quarter-Finals,1/22/20,H,,,,AS Roma,3:1,LW,1,,,,,90',,,
Semi-Finals 1st Leg,2/13/20,A,,,,AC Milan,1:1,LW,1,,,,,90',,,
Semi-Finals 2nd Leg,6/12/20,H,,,,AC Milan,0:0,CF,,,,,,90',,,
Final,6/17/20,A,,,,Napoli,4:2 on pens,LW,,,,,,90',,,
"Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 4,  Starting eleven: 4,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0"
