Matchday,Date,Venue,For,For.1,Opponent,Opponent.1,Result,Pos.,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Second Round 1st leg,7/24/25,A,,,,Cherno More,0:1,CF,,,,,,17',,,
Second Round 2nd leg,7/31/25,H,,,,Cherno More,4:0,CF,,,,,,32',,,
3rd round 1st leg,8/7/25,A,,,,Viking,1:3,LW,,,,,,32',,,
3rd round 2nd leg,8/13/25,H,,,,Viking,1:1,LW,,1,,,,83',,,
Qualifying Round 1st leg,8/21/25,H,,,,CS U Craiova,1:2,LW,,,,,,90',,,
Qualifying Round 2nd leg,8/28/25,A,,,,CS U Craiova,3:1,RW,,,54',,,90',,,
"Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 6,  Starting eleven: 3,  Substituted in: 3,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0"
