Competition,Competition.1,wettbewerb,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,UECL Qualifiers,6.0,-,1,1,-,-,344',
,Süper Lig,1.0,-,-,-,-,-,70',
Total 25/26:,Total 25/26:,,7,-,1,1,-,-,414'
