Matchday,Date,Venue,For,For.1,Opponent,Opponent.1,Result,Pos.,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
1,8/10/25,A,,,,Karagümrük,postponed,Information not yet available,Information not yet available,Information not yet available,Information not yet available,Information not yet available,Information not yet available,Information not yet available,Information not yet available,,
2,8/17/25,H,,(9.),,Kayserispor (11.),1:1,SS,,,,,,70',,,
3,8/24/25,A,,(8.),,C. Rizespor (12.),postponed,Information not yet available,Information not yet available,Information not yet available,Information not yet available,Information not yet available,Information not yet available,Information not yet available,Information not yet available,,
"Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0"
