Matchday,Date,Venue,For,For.1,Opponent,Opponent.1,Result,Pos.,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Final,12/22/19,H,,,,Lazio,1:3,LW,,1,,,,90',,,
"Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0","Squad: 1,  Starting eleven: 1,  Substituted in: 0,  On the bench: 0,  Suspended: 0,  Injured: 0,  Absence: 0"
